id,rubro,link,descripcion,agregado,comprado
1,heladera,https://sobreroycagnolo.com/wp-content/uploads/2022/02/Crema300ml.png,crema,0,0
2,heladera,https://acdn.mitiendanube.com/stores/093/780/products/2701-9183703cf9cbe2b26016034630077616-1024-1024.jpeg,queso untable,0,0
3,heladera,https://arcordiezb2c.vteximg.com.br/arquivos/ids/181486/Queso-Rallado-Milkaut-40-Gr-1-13121.jpg,queso rallado,0,0
4,freezer,https://distrifood.com.ar/wp-content/uploads/2020/05/noissette-chica.png,papas noisette,0,0
5,freezer,https://i.pinimg.com/736x/72/b9/83/72b983169c299b5a4c73527b6545eb95.jpg,nuguets,0,0
6,freezer,https://acdn.mitiendanube.com/stores/093/780/products/whatsapp-image-2021-05-22-at-11-51-141-6f4bcce77118e46a4d16217141444383-1024-1024.jpeg,hamburguesas,0,0
7,freezer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbP4zjIT1vwGxxVPcV16xjYckKXUgTFYz8Tw&s,helado,0,0
8,limpieza,https://acdn.mitiendanube.com/stores/003/954/621/products/foto-para-productos-11-c8ce1a371995fad5b017003561747434-1024-1024.png,rollo cocina,0,0
9,limpieza,https://cordoba.parodisrl.com.ar/40230-large_default/lavandina-ayudin-glaciar-4000cc.jpg,lavandina,0,0
10,limpieza,https://acdn.mitiendanube.com/stores/001/132/714/products/new-13835-lyso-vbl-aerosol-314889-1092278-5737255-lyso-aero-original-360cc_12ar-front1-2990c3b045585627d116324942436590-640-0.png,desinfectante,0,0
11,limpieza,https://acdn.mitiendanube.com/stores/414/299/products/trapo-rejilla1-a3d45351f8756c742815124530873036-320-0.jpg,trapo rejilla,0,0
12,limpieza,https://acdn.mitiendanube.com/stores/001/160/839/products/014-009-006_poet-limpia-piso-x-4-litros1-e8e025f6059f0ec51e15885319615584-640-0.jpg,poet,0,0
13,limpieza,https://acdn.mitiendanube.com/stores/002/008/988/products/16_60188244ae2a8-f5fa3b2fcd747800ba16839098332642-1024-1024.jpeg,escobillon,0,0
14,limpieza,https://dcdn.mitiendanube.com/stores/001/119/564/products/4642101-b59c36bf4a7cbcb8f916916045217275-640-0.jpg,secador,0,0
15,comestibles,https://acdn.mitiendanube.com/stores/093/780/products/whatsapp-image-2020-09-11-at-15-13-19-21-8f242626d45a8b794715998765319062-1024-1024.jpeg,atun,0,0
16,comestibles,https://www.distribuidorapop.com.ar/wp-content/uploads/2022/11/GRANIX-CEREALES-SKARCHITOS-POP-PNG.jpg,cereales,0,0
17,comestibles,https://statics.dinoonline.com.ar/imagenes/full_600x600_ma/2000060_f.jpg,azucar,0,0
18,comestibles,https://atomoconviene.com/atomo-ecommerce/10300-pdt_540/harina-de-trigo-pureza-4-0-refinada-1000-grs-.jpg,harina,0,0
19,comestibles,https://thefoodmarketar.vtexassets.com/arquivos/ids/161046/234469_leche-tregar-entera-x-1-l_imagen-1..jpg,leche,0,0
20,comestibles,https://acdn.mitiendanube.com/stores/001/326/060/products/molino-cerrillos_legumbres_lentejas_500g1-c6e24c33a19b2550c816636221527089-640-0.jpg,lentejas,0,0
21,heladera,https://frsaladillo.com.ar/wp-content/uploads/2023/03/JAMON-2.png,jamon,0,0
22,heladera,https://acdn.mitiendanube.com/stores/001/212/971/products/dambo1-14196fc372f61f272d16001112998795-480-0.jpg,queso en fetas,0,0
23,heladera,https://acdn.mitiendanube.com/stores/001/157/846/products/002638431-3158bf6a50249efb7416334541569371-1024-1024.jpg,tapas pascualina,0,0
24,heladera,https://www.lasaltena.com.ar/wp-content/uploads/2020/03/Tapas-Criollas-x12u-1.png,tapas empanada,0,0
25,verduleria,https://images.cookforyourlife.org/wp-content/uploads/2018/08/shutterstock_294838064-min.jpg,brcoli,0,0
26,verduleria,https://img.freepik.com/vector-gratis/dibujos-animados-repollo-simple-aislado_1308-125571.jpg,lechuga,0,0
27,verduleria,https://www.clarin.com/2024/02/22/zoiUbI60o_2000x1500__1.jpg,tomate,0,0
28,verduleria,https://calimaxmx.vtexassets.com/arquivos/ids/178939/00000000004083.jpg,papa blanca,0,0
29,verduleria,https://www.fervalle.com/wp-content/uploads/2022/07/BERENJENA-290x300.png,berenjena,0,0
30,verduleria,https://www.shutterstock.com/image-vector/flat-vector-cartoon-purple-onion-600nw-2508601765.jpg,cebolla,0,0
31,verduleria,https://www.sorianatural.es/storage/img/F0000002649_ajo_planta_soria_natural.jpg.jpg,ajo,0,0
32,aceo personal,https://clinicadentalbucoral.com/wp-content/uploads/2021/12/cepillos-dientes-1080x675.png,cepillo dientes,0,0
33,aceo personal,https://www.farmacialeloir.com.ar/img/articulos/2021/08/dove_desodorante_antitranspirante_aerosol_original_imagen1.jpg,desodorante,0,0
34,aceo personal,https://elcashonline.com/41958-medium_default/dove-jabon-pastilla-duple-100.jpg,jabon,0,0
35,aceo personal,https://unimarc.vtexassets.com/arquivos/ids/244260/000000000636937004-UN-01.jpg,shampoo,0,0
36,aceo personal,https://acdn.mitiendanube.com/stores/001/338/453/products/361-ac3c8d3498a4707d8016046955690714-640-0.png,crema enjuague,0,0
37,aceo personal,https://acdn.mitiendanube.com/stores/001/165/255/products/cremacorporalstivespielrenovada350ml_1200x12001-5c8d0dcd37e671c07c16445174664097-1024-1024.jpg,crema corporal,0,0
38,heladera,https://www.gba.gob.ar/sites/default/files/desarrolloagrario/newsletter/images/huevos.jpg,huevos,0,0
